Gene,count,mean,median,max,min,std
23710,117,3.405,0.0,41.0,0.0,9.398793130626522
9055,787,25.728,31.0,50.0,0.0,13.913864007227167
56257,395,11.847,0.0,43.0,0.0,14.799006777537524
988,505,15.627,25.0,45.0,0.0,15.693124135912043
6139,69,1.99,0.0,36.0,0.0,7.338784487758022
23152,286,8.562,0.0,43.0,0.0,13.62658577340046
83987,252,7.508,0.0,43.0,0.0,13.034102340545891
9820,559,17.117,27.0,45.0,0.0,15.411775817011932
1108,201,5.902,0.0,39.0,0.0,11.83420654055203
10971,320,9.586,0.0,41.0,0.0,14.088473625240214
3178,163,4.75,0.0,39.0,0.0,10.826389551032731
672,557,17.316,27.0,44.0,0.0,15.68324290789721
5501,171,4.991,0.0,36.0,0.0,11.04395254824503
8452,792,25.859,31.0,51.0,0.0,13.780094702505131
55832,286,8.499,0.0,41.0,0.0,13.532077302325616
54101,3,0.092,0.0,32.0,0.0,1.6793916625839123
7529,282,8.287,0.0,40.0,0.0,13.314725416354365
10921,68,1.949,0.0,34.0,0.0,7.241881236518852
29117,175,5.095,0.0,38.0,0.0,11.119155121258569
2840,357,10.669,0.0,41.0,0.0,14.452484676114116
999,672,21.473,29.0,49.0,0.0,15.386292893644297
11060,375,11.249,0.0,45.0,0.0,14.659874177867655
7157,477,14.684,0.0,43.0,0.0,15.563558987852629
1230,326,9.622,0.0,43.0,0.0,13.951048266985092
821,557,17.339,27.0,45.0,0.0,15.713720119691581
2358,61,1.72,0.0,36.0,0.0,6.778166680124025
1902,128,3.684,0.0,36.0,0.0,9.662168571366445
9212,300,8.908,0.0,44.0,0.0,13.709320970838837
5031,271,8.027,0.0,39.0,0.0,13.23773048934403
3965,300,8.882,0.0,40.0,0.0,13.663776007194162
65018,396,11.867,0.0,42.0,0.0,14.816911009108878
301,59,1.698,0.0,36.0,0.0,6.808608753126673
6657,263,7.742,0.0,39.0,0.0,13.03462072088549
25980,200,5.869,0.0,40.0,0.0,11.802929642599254
51741,311,9.205,0.0,41.0,0.0,13.781324315895766
7852,100,2.842,0.0,35.0,0.0,8.554075532061207
1017,95,2.707,0.0,35.0,0.0,8.388176948092624
1457,173,4.986,0.0,42.0,0.0,10.970056797762998
10213,19,0.531,0.0,32.0,0.0,3.8233044159021214
5684,4,0.111,0.0,29.0,0.0,1.7537829839392205
185,32,0.875,0.0,33.0,0.0,4.8276994191521165
10874,39,1.115,0.0,36.0,0.0,5.558117277250245
9513,4,0.112,0.0,29.0,0.0,1.7687805360147388
3106,122,3.489,0.0,39.0,0.0,9.410549263323446
25793,284,8.415,0.0,41.0,0.0,13.451160125011848
8924,25,0.713,0.0,36.0,0.0,4.471311174993709
1738,33,0.943,0.0,34.0,0.0,5.121325900485046
83732,61,1.767,0.0,34.0,0.0,6.9560835315641585
3676,89,2.602,0.0,40.0,0.0,8.362028433312071
1107,232,6.902,0.0,42.0,0.0,12.636695853033817
2332,38,1.067,0.0,35.0,0.0,5.385119358984582
3315,401,12.082,0.0,41.0,0.0,14.897355711910997
2335,535,16.418,26.0,42.0,0.0,15.512959998914711
2547,241,7.038,0.0,40.0,0.0,12.561303369568874
6787,250,7.314,0.0,40.0,0.0,12.74181140018003
81533,151,4.446,0.0,40.0,0.0,10.598462690947752
26270,370,11.047,0.0,40.0,0.0,14.525280540312284
8450,163,4.715,0.0,38.0,0.0,10.736621910547564
10413,101,2.921,0.0,40.0,0.0,8.753935708605038
60,224,6.554,0.0,38.0,0.0,12.272069413415476
7466,67,1.893,0.0,34.0,0.0,7.08899180453785
4691,13,0.363,0.0,32.0,0.0,3.171638423636951
3320,719,23.292,30.0,47.0,0.0,14.966185977820894
55072,6,0.173,0.0,31.0,0.0,2.2316027986743188
5728,325,9.702,0.0,43.0,0.0,14.107239638221582
3326,550,17.016,27.0,44.0,0.0,15.593745826738004
10146,67,1.944,0.0,37.0,0.0,7.285873176768036
6135,7,0.205,0.0,32.0,0.0,2.4480539144324345
6615,50,1.409,0.0,33.0,0.0,6.1562666136724955
9463,142,4.066,0.0,36.0,0.0,10.038147658229004
6472,202,5.846,0.0,40.0,0.0,11.686781629895583
23076,129,3.802,0.0,39.0,0.0,9.930730860083532
128866,309,9.272,0.0,42.0,0.0,13.981899352717052
9531,264,7.768,0.0,39.0,0.0,13.049308811598433
5770,217,6.372,0.0,38.0,0.0,12.167812937075901
7329,196,5.632,0.0,39.0,0.0,11.464292651795226
11318,115,3.259,0.0,34.0,0.0,9.079557112401318
506,7,0.191,0.0,31.0,0.0,2.2855508619898925
9532,146,4.196,0.0,40.0,0.0,10.197724137158135
25921,132,3.824,0.0,41.0,0.0,9.858408198700856
81622,36,1.008,0.0,34.0,0.0,5.233672451283833
3192,252,7.372,0.0,37.0,0.0,12.766855862294701
8290,18,0.514,0.0,32.0,0.0,3.8050338082968826
22981,96,2.739,0.0,38.0,0.0,8.435047660151602
23435,49,1.408,0.0,35.0,0.0,6.226902143948491
2792,27,0.751,0.0,34.0,0.0,4.528521448166774
149041,333,9.899,0.0,39.0,0.0,14.104457973801571
6310,227,6.651,0.0,39.0,0.0,12.34461779840059
7531,213,6.239,0.0,38.0,0.0,12.060652483938767
3066,226,6.596,0.0,41.0,0.0,12.283471319935078
2774,20,0.559,0.0,33.0,0.0,3.928606999045967
7917,78,2.206,0.0,36.0,0.0,7.611274235993307
8655,12,0.328,0.0,33.0,0.0,2.9902102530352868
7158,43,1.233,0.0,36.0,0.0,5.838904332475726
70,404,12.297,0.0,41.0,0.0,15.074283565895431
5597,83,2.351,0.0,37.0,0.0,7.846615089856797
26232,42,1.192,0.0,34.0,0.0,5.710669640921961
998,292,8.604,0.0,42.0,0.0,13.490781489045963
7277,40,1.123,0.0,32.0,0.0,5.515640787188129
8726,66,1.908,0.0,34.0,0.0,7.202458705984465
10075,52,1.486,0.0,33.0,0.0,6.363984939038143
4137,188,5.472,0.0,41.0,0.0,11.435645586935177
23512,171,4.968,0.0,36.0,0.0,10.996449331393197
6118,75,2.153,0.0,34.0,0.0,7.58321146323219
2033,225,6.588,0.0,41.0,0.0,12.298109590481763
5499,86,2.42,0.0,34.0,0.0,7.9179728652158365
23281,12,0.333,0.0,31.0,0.0,3.0300647340101987
409,22,0.625,0.0,33.0,0.0,4.179215337936158
8517,33,0.911,0.0,30.0,0.0,4.941203749542665
55611,38,1.077,0.0,33.0,0.0,5.433469756388969
10594,68,1.97,0.0,36.0,0.0,7.319609052174624
25,20,0.561,0.0,34.0,0.0,3.9451036542583817
1398,44,1.258,0.0,37.0,0.0,5.884901704197623
4771,4,0.114,0.0,32.0,0.0,1.8067286094674735
5111,196,5.752,0.0,45.0,0.0,11.724929422814023
7533,261,7.641,0.0,41.0,0.0,12.937213397424133
6386,27,0.759,0.0,32.0,0.0,4.5676889980364015
4904,152,4.378,0.0,38.0,0.0,10.394284831442574
3014,92,2.579,0.0,34.0,0.0,8.13165929456485
9924,13,0.368,0.0,33.0,0.0,3.2172856458398162
8878,76,2.121,0.0,37.0,0.0,7.42344033898478
54331,192,5.566,0.0,40.0,0.0,11.483619530336137
5879,85,2.402,0.0,34.0,0.0,7.903598095985325
3065,299,8.767,0.0,41.0,0.0,13.532399522510294
203068,121,3.424,0.0,35.0,0.0,9.26056056521321
10618,130,3.739,0.0,42.0,0.0,9.719328389572212
5294,46,1.287,0.0,32.0,0.0,5.875811106235135
55093,83,2.362,0.0,35.0,0.0,7.882073526876229
2864,19,0.52,0.0,30.0,0.0,3.7424063923638236
2926,41,1.173,0.0,36.0,0.0,5.691349792664519
11224,10,0.277,0.0,29.0,0.0,2.7611401440156738
7431,119,3.368,0.0,38.0,0.0,9.201915629435604
56829,19,0.532,0.0,33.0,0.0,3.835842761335465
1460,28,0.762,0.0,29.0,0.0,4.49706343957694
10128,74,2.127,0.0,36.0,0.0,7.55459747060973
6202,43,1.221,0.0,36.0,0.0,5.776809719086352
6175,60,1.72,0.0,35.0,0.0,6.834201219331071
8087,54,1.533,0.0,36.0,0.0,6.4425474322986105
5160,18,0.507,0.0,32.0,0.0,3.759532562046123
1743,132,3.833,0.0,38.0,0.0,9.87434117364868
11338,50,1.45,0.0,35.0,0.0,6.34190190082752
983,84,2.41,0.0,35.0,0.0,7.990854381964031
22916,24,0.671,0.0,31.0,0.0,4.288257005841435
7189,231,6.765,0.0,38.0,0.0,12.405550075376452
187,50,1.412,0.0,38.0,0.0,6.185832241543617
23236,59,1.668,0.0,36.0,0.0,6.684044617778405
23291,30,0.827,0.0,30.0,0.0,4.710122743226154
4864,2,0.056,0.0,30.0,0.0,1.2547662883734323
6430,62,1.76,0.0,33.0,0.0,6.871070630666783
6426,34,0.967,0.0,35.0,0.0,5.17423266617222
3303,154,4.448,0.0,37.0,0.0,10.479270542891385
3428,63,1.825,0.0,35.0,0.0,7.064154392231054
8454,79,2.223,0.0,34.0,0.0,7.6120440234022695
