gene_id,training_class,disease_probability
80194,-1,0.9968916683792535
353345,-1,0.9968916683792535
51286,-1,0.9968916683792535
2710,-1,0.9968916683792535
84255,-1,0.9968916683792535
2823,-1,0.9968916683792535
9452,-1,0.9968916683792535
219736,-1,0.9968913932949967
6573,-1,0.9968912519002178
139818,-1,0.9968912480201436
25802,-1,0.9968908208473433
481,-1,0.9968902527195955
375323,-1,0.9968902328495418
5335,-1,0.9968899712279794
79589,-1,0.996889748554829
23678,-1,0.996889748554829
643641,-1,0.996889748554829
8544,-1,0.9968895523647455
26872,-1,0.9968891168852658
56,-1,0.9968890407120272
2885,-1,0.9968879718592552
1026,1,0.9968877711271387
64375,-1,0.9968877711271387
342125,-1,0.9968877711271387
1856,-1,0.9968877711271387
11165,-1,0.9968873247094685
5268,-1,0.9968873247094685
5317,-1,0.9968873247094685
101928527,-1,0.9968868266340303
378884,-1,0.9968867520824887
729262,-1,0.9968867520824887
55223,-1,0.9968867520824887
3645,-1,0.9968856134042674
1359,-1,0.9968854957927382
2219,-1,0.9968854169394546
5325,-1,0.9968852353177562
214,-1,0.9968851572620027
79982,-1,0.9968849317787312
84061,-1,0.9968849317787312
10525,-1,0.9968849317787312
79611,-1,0.9968849317787312
10446,-1,0.9968848213970585
215,-1,0.9968841688448984
8273,1,0.9968841341197231
140710,-1,0.9968840090253779
51134,-1,0.9968840090253779
9736,-1,0.9968838808829631
256051,-1,0.9968838062310292
55343,-1,0.99688360488464
5829,1,0.9968835711144242
84941,-1,0.9968835711144242
165,1,0.9968835711144242
91584,-1,0.9968835711144242
5900,-1,0.9968835711144242
2066,-1,0.9968835711144242
92597,-1,0.9968830915285509
8500,-1,0.9968830915285509
4645,-1,0.9968830915285509
6645,-1,0.9968830915285509
1453,-1,0.9968830915285509
91404,-1,0.9968830915285509
57606,-1,0.9968830915285509
5518,-1,0.9968830915285509
57534,-1,0.9968826739039139
23299,-1,0.9968826739039139
50619,-1,0.9968826739039139
89876,-1,0.9968826739039139
125113,-1,0.9968826739039139
57509,-1,0.9968826739039139
54834,-1,0.9968826739039139
29944,-1,0.9968826739039139
54462,-1,0.9968826739039139
22863,-1,0.9968826739039139
10687,-1,0.9968826739039139
23286,-1,0.9968826739039139
140460,-1,0.9968822996833313
55686,-1,0.9968822996833313
4287,-1,0.9968822996833313
1267,-1,0.9968822996833313
441869,-1,0.9968822996833313
56005,-1,0.9968822996833313
1491,1,0.9968822996833313
57060,-1,0.9968822996833313
28951,-1,0.9968822996833313
58472,-1,0.9968822996833313
84253,-1,0.9968822996833313
119016,-1,0.9968822996833313
9796,-1,0.9968822996833313
51138,-1,0.9968822996833313
54952,-1,0.9968822996833313
84893,-1,0.9968822996833313
5091,-1,0.9968822996833313
10665,-1,0.9968822996833313
7334,-1,0.9968822996833313
201456,-1,0.9968822996833313
7320,-1,0.9968822996833313
56267,-1,0.9968822996833313
112483,-1,0.9968822996833313
10537,-1,0.9968822996833313
9616,-1,0.9968822996833313
79828,-1,0.9968822996833313
56944,-1,0.9968822996833313
10920,-1,0.9968822996833313
1802,-1,0.9968822996833313
93349,-1,0.9968822996833313
348793,-1,0.9968822996833313
23057,-1,0.9968822996833313
126133,-1,0.9968822996833313
10072,-1,0.9968822996833313
55748,-1,0.9968822996833313
7453,-1,0.9968822996833313
341277,-1,0.9968822996833313
11231,-1,0.9968816954654238
