gene_id	n_lists	mean_prob	sources
6218	7	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_32d,tree_512d,tree_64d
10018	7	1.0000	tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
79728	7	1.0000	tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
1434	7	0.9983	logreg_128d,logreg_16d,logreg_256d,logreg_32d,logreg_512d,logreg_64d,svm_64d
2547	6	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_32d,tree_512d
991	6	1.0000	svm_256d,tree_128d,tree_16d,tree_32d,tree_64d,tree_8d
2175	6	1.0000	svm_256d,tree_128d,tree_16d,tree_32d,tree_64d,tree_8d
128674	6	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_512d,tree_64d
8620	6	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_512d,tree_64d
3060	6	1.0000	svm_256d,svm_512d,tree_128d,tree_32d,tree_512d,tree_64d
94233	6	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_512d,tree_64d
57413	6	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_32d,tree_512d
259296	6	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_512d,tree_64d
80024	6	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_32d,tree_64d
2914	6	1.0000	svm_256d,svm_512d,tree_128d,tree_32d,tree_512d,tree_64d
6921	6	1.0000	svm_256d,svm_512d,tree_256d,tree_32d,tree_64d,tree_8d
8737	6	1.0000	svm_256d,svm_512d,tree_128d,tree_16d,tree_256d,tree_64d
6500	6	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_512d,tree_64d
6502	6	1.0000	svm_256d,svm_512d,tree_16d,tree_256d,tree_512d,tree_64d
5289	6	1.0000	tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_8d
4292	6	1.0000	tree_128d,tree_16d,tree_256d,tree_32d,tree_64d,tree_8d
2176	6	1.0000	tree_128d,tree_16d,tree_32d,tree_512d,tree_64d,tree_8d
3611	6	0.9992	logreg_128d,logreg_256d,svm_128d,svm_16d,svm_32d,svm_64d
1315	6	0.9970	logreg_128d,logreg_16d,logreg_256d,logreg_32d,logreg_64d,logreg_8d
488	6	0.9962	logreg_128d,logreg_16d,logreg_256d,logreg_32d,logreg_64d,logreg_8d
129521	5	1.0000	svm_128d,svm_256d,svm_512d,tree_32d,tree_64d
8717	5	1.0000	svm_128d,svm_16d,svm_256d,tree_128d,tree_32d
3654	5	1.0000	svm_128d,svm_256d,svm_64d,tree_256d,tree_512d
3354	5	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_64d
8843	5	1.0000	svm_256d,svm_512d,tree_128d,tree_512d,tree_64d
2829	5	1.0000	svm_256d,svm_512d,tree_128d,tree_32d,tree_64d
259290	5	1.0000	svm_256d,svm_512d,tree_128d,tree_32d,tree_64d
23620	5	1.0000	svm_256d,svm_512d,tree_128d,tree_512d,tree_64d
222545	5	1.0000	svm_256d,svm_512d,tree_128d,tree_512d,tree_64d
